time,in0,out0,in1,out1,in2,out2,in3,out3,in4,out4,in5,out5,in6,out6,in7,out7,in8,out8,in9,out9,in10,out10,in11,out11,in12,out12,in13,out13,in14,out14,in15,out15
0
3250
3490
3934
4686
7936
8176
9116
9356
9596
9872
10707
12043
12610
14041
14448
14805
15297
15703
16255
16560
16800
17652
19052
19292
19532
19804
20183
20423
20663
20906
21334
21574
22212
23459
23699
24137
24544
24828
25068
25418
25658
28287
28778
29416
32032
34700
35286
36507
37686
38568
38808
39048
39288
39761
40001
40241
40647
40940
41180
41420
41660
41900
42302
43691
43931
44674
44914
45818
46252
46875
47115
47455
47695
48082
48322
48624
48943
49183
49423
50236
50476
50716
51336
51700
52118
54283
54523
54763
55286
56268
59322
61005
61307
61714
62018
62576
64256
64667
66526
67057
67757
67997
68854
69094
69854
70981
71871
72602
74761
75856
77100
77755
77995
78235
78475
79806
81965
83698
86153
86773
88599
88863
89632
90967
92117
92850
93641
93881
94221
94912
95922
96162
97135
97501
98166
98406
99176
99610
99850
100090
100846
101086
101326
103104
103518
103758
104100
104340
105227
107054
107390
107630
108018
108258
108498
110839
111544
111784
112379
113024
113762
114093
115038
115290
116819
117059
118690
118930
119749
119989
120229
120714
120961
121201
122042
122518
122790
123030
124606
124846
125423
126368
126836
127076
127430
128138
130090
130471
131027
131534
131774
132682
135759
137439
137679
138649
138977
139217
139743
141324
141903
142180
142444
142684
142963
143215
143455
143695
144537
144777
145184
145541
145853
146949
148720
150185
150425
150665
150905
151145
151594
151974
152878
154820
155924
156164
156404
158393
158712
159080
159896
160136
160760
161000
161966
162408
162648
162888
163128
163368
165215
165631
165947
166427
166667
167074
167431
167704
169681
170590
170830
171070
171365
173631
173871
174324
174564
174804
175044
175378
176137
176516
177776
178016
178274
181868
182108
182348
182950
183681
185663
195918
209202
211452
219148
221275
229519
238871
332643
496364
578157
626564
628708
633820
740161
