time,gpu0,gpu1,gpu2,gpu3,gpu4,gpu5,gpu6,gpu7,gpu8,gpu9,gpu10,gpu11,gpu12,gpu13,gpu14,gpu15
0
385
4686
5952
9116
9356
9596
10596
12043
14041
15703
15943
16255
17652
18541
18781
19052
19292
20358
20617
20870
21318
21558
22212
23642
24137
29888
32032
33594
33834
36507
37686
38568
38834
39074
39314
39910
40150
40390
40647
41110
41364
44699
45770
46010
46250
47051
47455
47695
47935
48175
48415
49163
49403
52518
59322
59928
61005
61307
61547
64667
67057
67684
69046
69966
70397
72602
73427
74761
77100
77397
77755
77995
81732
83698
84605
88599
88863
89271
90967
92785
93025
93778
94192
94912
95887
96127
97188
98190
99250
99804
100846
102082
103518
104173
104556
107390
107630
110839
111600
111840
112417
113024
113264
116202
116819
117125
118749
119411
119749
120125
120365
120714
122518
122758
122998
123313
123617
126368
126608
126848
128625
130471
131027
131267
131911
135759
136533
137597
137837
138649
139743
139983
140223
141324
141881
142548
142788
143215
143564
144640
145061
148720
150185
150425
150665
151185
151425
152878
154820
155060
157558
158272
158512
158752
160760
161000
161240
161673
162438
162917
163302
163542
163782
166427
166667
167704
170437
170677
171011
171365
172247
172487
172727
174553
175273
175513
175801
177889
190341
199774
212757
236291
272133
284289
303927
322766
369051
404016
458075
474396
641210
853758
949765
