time,job_id,num_gpu,submit_time,start_time,end_time,ddl,executed_time,JCT,pending_time,preempt,promote,best_effort_job
385,0,64,0,0,385,5896,385,385,0,0,0,0
5952,1,64,4686,4686,5952,11932,1266,1266,0,0,0,0
9356,2,32,9116,9116,9274,10244,158,158,0,0,0,0
9596,4,64,9336,9356,9511,11357,155,175,20,0,0,0
10596,3,64,9203,9356,10596,25437,1240,1393,153,0,0,0
15943,7,64,15703,15703,15879,17217,176,176,0,0,0,0
18541,9,64,17652,17652,18541,29296,889,889,0,0,0,0
18781,8,64,16255,16255,18753,34298,2498,2498,0,0,0,0
19292,10,64,19052,19052,19208,20174,156,156,0,0,0,0
20870,12,64,20617,20617,20870,21618,253,253,0,0,0,0
21318,11,64,20358,20358,21318,27290,960,960,0,0,0,0
23642,14,64,22212,22212,23642,40938,1430,1430,0,0,0,0
29888,5,64,12043,12043,29888,156466,17845,17845,0,0,0,0
33594,15,64,24137,24137,33594,45808,9457,9457,0,0,0,0
33834,16,64,32032,32032,33687,46340,1655,1655,0,0,0,0
38834,19,32,38568,38568,38834,40472,266,266,0,0,0,0
39910,22,64,39134,39314,39910,42546,596,776,180,0,0,0
40150,21,64,39092,39314,39941,41637,627,849,222,0,0,0
40390,17,64,36507,36507,40257,59290,3750,3750,0,0,0,0
41110,23,64,40071,40150,41110,46860,960,1039,79,0,0,0
45770,24,64,40647,40647,45770,61090,5123,5123,0,0,0,0
46250,25,64,41364,41364,46209,63630,4845,4845,0,0,0,0
46250,27,64,45818,46010,46229,47398,219,411,192,0,0,0
47935,30,64,47492,47695,47838,49358,143,346,203,0,0,0
49163,32,64,48302,48415,49163,49422,748,861,113,0,0,0
52518,18,64,37686,37686,52518,77535,14832,14832,0,0,0,0
59928,34,64,59322,59322,59928,73615,606,606,0,0,0,0
61547,35,64,61005,61005,61335,62519,330,330,0,0,0,0
67684,38,64,67057,67057,67684,68108,627,627,0,0,0,0
69966,36,64,61307,61307,69966,74113,8659,8659,0,0,0,0
70397,39,64,69046,69046,70397,71868,1351,1351,0,0,0,0
73427,37,64,64667,64667,73427,97820,8760,8760,0,0,0,0
77397,42,64,77100,77100,77397,78274,297,297,0,0,0,0
77995,43,64,77755,77755,77870,78758,115,115,0,0,0,0
81732,41,64,74761,74761,81732,103075,6971,6971,0,0,0,0
84605,44,64,83698,83698,84605,87380,907,907,0,0,0,0
89271,45,64,88599,88599,89271,90142,672,672,0,0,0,0
92785,46,64,88863,88863,92785,106889,3922,3922,0,0,0,0
94192,49,64,93778,93778,94192,99202,414,414,0,0,0,0
95887,50,64,94912,94912,95887,101954,975,975,0,0,0,0
97188,51,64,95922,96127,97188,103585,1061,1266,205,0,0,0
98190,47,64,90967,90967,98190,115640,7223,7223,0,0,0,0
99250,6,64,14041,14041,99250,161534,85209,85209,0,0,0,0
102082,53,64,100846,100846,102082,111678,1236,1236,0,0,0,0
104556,54,64,103518,103518,104556,106064,1038,1038,0,0,0,0
107630,56,64,107390,107390,107627,108326,237,237,0,0,0,0
111600,57,64,110839,110839,111600,117509,761,761,0,0,0,0
112417,58,64,111766,111840,112417,119315,577,651,74,0,0,0
113264,59,64,113024,113024,113178,114131,154,154,0,0,0,0
116202,13,64,21461,33834,116202,167129,82368,94741,12373,0,0,0
117125,60,64,116819,116819,117125,121323,306,306,0,0,0,0
119411,61,64,118749,118749,119411,121790,662,662,0,0,0,0
120365,63,32,120125,120125,120280,121234,155,155,0,0,0,0
122758,62,64,119749,119749,122584,131264,2835,2835,0,0,0,0
123313,66,64,122790,122998,123313,125508,315,523,208,0,0,0
123617,65,64,122518,122518,123617,126870,1099,1099,0,0,0,0
126608,67,64,126368,126368,126541,129018,173,173,0,0,0,0
128625,68,64,126836,126848,128625,133877,1777,1789,12,0,0,0
131267,70,32,131027,131027,131165,132014,138,138,0,0,0,0
131911,69,64,130471,130471,131911,133782,1440,1440,0,0,0,0
136533,71,64,135759,135759,136533,147161,774,774,0,0,0,0
137837,72,64,137597,137597,137822,139538,225,225,0,0,0,0
139983,74,64,139743,139743,139915,143789,172,172,0,0,0,0
140223,64,64,120714,120714,140022,145786,19308,19308,0,0,0,0
141881,75,64,141324,141324,141881,142603,557,557,0,0,0,0
142548,20,64,39037,99250,142548,167413,43298,103511,60213,0,0,0
145061,76,64,142654,142788,145061,145504,2273,2407,134,0,0,0
150665,81,64,150185,150185,150530,151551,345,345,0,0,0,0
151185,82,64,150302,150425,151185,152041,760,883,123,0,0,0
151425,79,64,144640,144640,151250,153143,6610,6610,0,0,0,0
155060,84,64,154820,154820,154980,157175,160,160,0,0,0,0
157558,78,64,143564,143564,157558,194634,13994,13994,0,0,0,0
158272,48,64,92850,116202,158272,197786,42070,65422,23352,0,0,0
161240,87,32,160760,160760,161104,163226,344,344,0,0,0,0
161673,88,64,160851,161000,161673,163147,673,822,149,0,0,0
163542,89,64,162438,162438,163374,166236,936,936,0,0,0,0
163782,90,64,162917,162917,163564,166619,647,647,0,0,0,0
170437,94,64,167704,167704,170437,191663,2733,2733,0,0,0,0
172247,96,64,171011,171011,172247,187202,1236,1236,0,0,0,0
172487,92,64,166427,166427,172399,189823,5972,5972,0,0,0,0
172727,97,64,171365,171365,172696,176769,1331,1331,0,0,0,0
175273,98,64,174553,174553,175273,177476,720,720,0,0,0,0
175801,99,64,175378,175513,175801,176516,288,423,135,0,0,0
177889,91,32,163302,163782,177889,212081,14107,14587,480,0,0,0
190341,73,64,138649,142548,190341,203555,47793,51692,3899,0,0,0
199774,95,64,170590,172727,199774,231878,27047,29184,2137,0,0,0
212757,86,64,158712,199774,212757,252504,12983,54045,41062,0,0,0
236291,31,64,48082,212757,236291,254401,23534,188209,164675,0,0,0
272133,29,64,47455,158272,272133,250645,113861,224678,110817,0,0,0
284289,52,64,99804,236291,284289,263780,47998,184485,136487,0,0,0
303927,55,64,104173,284289,303927,276333,19638,199754,180116,0,0,0
322766,80,32,148720,303927,322766,283894,18839,174046,155207,0,0,0
369051,77,64,143215,272133,369051,272601,96918,225836,128918,0,0,0
404016,83,64,152878,369051,404016,668055,34965,251138,216173,0,0,0
458075,28,64,47051,404016,458075,843562,54059,411024,356965,0,0,0
474396,85,64,158393,303927,474396,419698,170469,316003,145534,0,0,0
641210,40,64,72602,458075,641210,914377,183135,568608,385473,0,0,0
853758,26,64,44699,474396,853758,917121,379362,809059,429697,0,0,0
949765,33,64,49373,641210,949765,918236,308555,900392,591837,0,0,0
1358163,93,64,166596,853758,1358163,1026822,504405,1191567,687162,0,0,0
